starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 20 23:30:31 2023	1679342431	0	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	6
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	7
Mon Mar 20 23:30:31 2023	1679342431	1	7	9	5
Mon Mar 20 23:30:31 2023	1679342431	1	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	4	5	9	4
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	6
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	9
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	6
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	9
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	6
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	9
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	6
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	4	6	9	4
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	4	5	9	5
Mon Mar 20 23:30:31 2023	1679342431	2	7	9	7
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	9
Mon Mar 20 23:30:31 2023	1679342431	1	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	9	9
Mon Mar 20 23:30:31 2023	1679342431	4	6	9	5
Mon Mar 20 23:30:31 2023	1679342431	1	8	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	9	8
Mon Mar 20 23:30:31 2023	1679342431	2	8	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	4	6	10	5
Mon Mar 20 23:30:31 2023	1679342431	1	8	10	5
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	0	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	7
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	0	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	1	8	10	6
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	4	6	10	4
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	0	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	2	8	10	7
Mon Mar 20 23:30:31 2023	1679342431	2	8	10	7
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	10
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	0	10	10	10
Mon Mar 20 23:30:31 2023	1679342431	2	8	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	2	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	10	10	7
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	4	6	10	5
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	1	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	5
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	4	7	10	5
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	10	10	7
Mon Mar 20 23:30:31 2023	1679342431	1	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	4	6	10	4
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	6
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	8
Mon Mar 20 23:30:31 2023	1679342431	1	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	5
Mon Mar 20 23:30:31 2023	1679342431	1	10	10	9
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	5
Mon Mar 20 23:30:31 2023	1679342431	4	7	10	4
Mon Mar 20 23:30:31 2023	1679342431	1	9	10	9
Mon Mar 20 23:30:31 2023	1679342431	3	7	10	5
Mon Mar 20 23:30:31 2023	1679342431	3	8	10	6
Mon Mar 20 23:30:31 2023	1679342431	1	10	11	9
